x1_épaule,x1_coude,x1_poignet,y1_épaule,y1_coude,y1_poignet,z1_épaule,z1_coude,z1_poignet,x2_épaule,x2_coude,x2_poignet,y2_épaule,y2_coude,y2_poignet,z2_épaule,z2_coude,z2_poignet
-2.5,-0.5,2.5,0,0,0,0,0,0,2.5,0.5,-2.5,0,2.44929359829471e-16,6.12323399573677e-16,0,0,3.67394039744206e-16
-2.5,-0.509991669443949,2.47502082639013,0,0.199666833293656,0.499167083234141,0,0,0.299500249940484,2.5,0.509991669443948,-2.47502082639013,0,-0.199666833293656,-0.499167083234141,0,0,-0.299500249940484
-2.5,-0.539866844317517,2.40033288920621,0,0.397338661590122,0.993346653975306,0,0,0.596007992385184,2.5,0.539866844317517,-2.40033288920621,0,-0.397338661590123,-0.993346653975306,0,0,-0.596007992385184
-2.5,-0.589327021748788,2.27668244562803,0,0.591040413322679,1.4776010333067,0,0,0.886560619984019,2.5,0.589327021748788,-2.27668244562803,0,-0.591040413322679,-1.4776010333067,0,0,-0.886560619984018
-2.5,-0.65787801199423,2.10530497001443,0,0.778836684617301,1.94709171154325,0,0,1.16825502692595,2.5,0.65787801199423,-2.10530497001443,0,-0.778836684617301,-1.94709171154325,0,0,-1.16825502692595
-2.5,-0.744834876219254,1.88791280945186,0,0.958851077208406,2.39712769302102,0,0,1.43827661581261,2.5,0.744834876219254,-1.88791280945186,0,-0.958851077208406,-2.39712769302101,0,0,-1.43827661581261
-2.5,-0.849328770180644,1.62667807454839,0,1.12928494679007,2.82321236697518,0,0,1.69392742018511,2.5,0.849328770180643,-1.62667807454839,0,-1.12928494679007,-2.82321236697518,0,0,-1.69392742018511
-2.5,-0.970315625431023,1.32421093642244,0,1.28843537447538,3.22108843618846,0,0,1.93265306171307,2.5,0.970315625431023,-1.32421093642244,0,-1.28843537447538,-3.22108843618846,0,0,-1.93265306171307
-2.5,-1.10658658130567,0.983533546735827,0,1.43471218179905,3.58678045449761,0,0,2.15206827269857,2.5,1.10658658130567,-0.983533546735828,0,-1.43471218179905,-3.58678045449761,0,0,-2.15206827269857
-2.5,-1.25678006345867,0.608049841353322,0,1.56665381925497,3.91663454813742,0,0,2.34998072888245,2.5,1.25678006345867,-0.608049841353321,0,-1.56665381925497,-3.91663454813742,0,0,-2.34998072888245
-2.5,-1.41939538826372,0.201511529340699,0,1.68294196961579,4.20735492403948,0,0,2.52441295442369,2.5,1.41939538826372,-0.201511529340699,0,-1.68294196961579,-4.20735492403948,0,0,-2.52441295442369
-2.5,-1.59280775714885,-0.232019392872113,0,1.78241472012287,4.45603680030718,0,0,2.67362208018431,2.5,1.59280775714884,0.232019392872111,0,-1.78241472012287,-4.45603680030718,0,0,-2.67362208018431
-2.5,-1.77528449104665,-0.688211227616633,0,1.86407817193445,4.66019542983613,0,0,2.79611725790168,2.5,1.77528449104665,0.688211227616632,0,-1.86407817193445,-4.66019542983613,0,0,-2.79611725790168
